"date","series_id","value","realtime_start","realtime_end"
2011-02-01,"CES0500000003",22.87,2024-11-20,2024-11-20
2011-03-01,"CES0500000003",22.87,2024-11-20,2024-11-20
2011-04-01,"CES0500000003",22.91,2024-11-20,2024-11-20
2011-05-01,"CES0500000003",22.98,2024-11-20,2024-11-20
2011-06-01,"CES0500000003",23.01,2024-11-20,2024-11-20
2011-07-01,"CES0500000003",23.1,2024-11-20,2024-11-20
2011-08-01,"CES0500000003",23.07,2024-11-20,2024-11-20
2011-09-01,"CES0500000003",23.12,2024-11-20,2024-11-20
2011-10-01,"CES0500000003",23.2,2024-11-20,2024-11-20
2011-11-01,"CES0500000003",23.19,2024-11-20,2024-11-20
2011-12-01,"CES0500000003",23.22,2024-11-20,2024-11-20
2012-01-01,"CES0500000003",23.25,2024-11-20,2024-11-20
2012-02-01,"CES0500000003",23.28,2024-11-20,2024-11-20
2012-03-01,"CES0500000003",23.36,2024-11-20,2024-11-20
2012-04-01,"CES0500000003",23.39,2024-11-20,2024-11-20
2012-05-01,"CES0500000003",23.4,2024-11-20,2024-11-20
2012-06-01,"CES0500000003",23.46,2024-11-20,2024-11-20
2012-07-01,"CES0500000003",23.5,2024-11-20,2024-11-20
2012-08-01,"CES0500000003",23.48,2024-11-20,2024-11-20
2012-09-01,"CES0500000003",23.57,2024-11-20,2024-11-20
2012-10-01,"CES0500000003",23.56,2024-11-20,2024-11-20
2012-11-01,"CES0500000003",23.63,2024-11-20,2024-11-20
2012-12-01,"CES0500000003",23.73,2024-11-20,2024-11-20
2013-01-01,"CES0500000003",23.75,2024-11-20,2024-11-20
2013-02-01,"CES0500000003",23.78,2024-11-20,2024-11-20
2013-03-01,"CES0500000003",23.8,2024-11-20,2024-11-20
2013-04-01,"CES0500000003",23.87,2024-11-20,2024-11-20
2013-05-01,"CES0500000003",23.89,2024-11-20,2024-11-20
2013-06-01,"CES0500000003",23.96,2024-11-20,2024-11-20
